"metID"	"fc"
"HMDB0014903"	-0.204779877891234
"HMDB0009986"	1.75510153616932
"HUBMet000552"	1.45417904005759
"HMDB0008863"	-2.22305764916875
"HMDB0001243"	2.82068449498648
"HMDB0012969"	4.32649442622612
"HMDB0006345"	-2.1392083793291
"HMDB0013550"	-2.48903855621744
"HMDB0014970"	-2.26967808827339
"HUBMet001911"	4.10532296603872
"HMDB0010131"	-2.09988681864286
"HMDB0011985"	2.75563672008331
"HUBMet001745"	0.334739704734623
"HMDB0009991"	-1.32670008329942
"HMDB0012047"	-1.65703917504597
"HMDB0014697"	0.687485160118756
"HMDB0007067"	1.46102222416559
"HMDB0003378"	-1.35682519856159
"HMDB0009679"	-0.534764251178762
"HMDB0012387"	-2.40876559908851
"HUBMet002881"	-7.74224058002229
"HMDB0009238"	-0.408389564289537
"HMDB0014417"	1.28525439829253
"HMDB0007841"	1.8220539657413
"HMDB0006216"	-0.680734407757269
"HMDB0011480"	0.0964217447659404
"HUBMet001477"	5.52388269643496
"HUBMet001269"	4.50167966071915
"HMDB0009486"	0.710309206360225
"HUBMet000162"	0.864940337870912
"HUBMet002057"	2.55662742558132
"HMDB0014901"	0.638344817095473
"HMDB0015532"	-1.33740882342718
"HMDB0009179"	-0.497830746946358
"HMDB0007882"	-2.24868344934923
"HMDB0015522"	-3.20196167514023
"HMDB0008728"	4.03990812954856
"HUBMet002829"	0.732067244342848
"HMDB0015328"	-5.0794487520825
"HMDB0009960"	-0.564829513262463
"HUBMet000629"	0.242672694024771
"HMDB0008783"	2.55307238331536
"HMDB0007380"	4.21264198153769
"HUBMet001987"	-2.67145994773901
"HMDB0010636"	0.694037678373906
"HUBMet000397"	2.53685382355738
"HMDB0009595"	-1.04569544480095
"HUBMet000588"	-2.70961304777427
"HUBMet000492"	6.86398340828975
"HMDB0006865"	-1.83649702748494
"HUBMet002792"	-0.642263123569269
"HMDB0015659"	1.57015647510924
"HMDB0006117"	-7.98254217314415
"HMDB0009990"	-1.77968780567946
"HUBMet002055"	-2.25335111008056
"HMDB0002992"	-0.647915296033304
"HUBMet001912"	2.00125830875336
"HMDB0011606"	-0.491460755357016
"HMDB0007878"	-2.4216403472234
"HMDB0010312"	-0.140253678409099
"HMDB0011502"	3.33615903308067
"HUBMet001908"	0.986883868088068
"HUBMet001425"	4.78419895852282
"HMDB0012634"	5.25846423110035
"HMDB0011921"	-1.98626764486744
"HUBMet002593"	-5.32819931447803
"HMDB0006577"	2.42196440566021
"HMDB0013475"	-0.751795225934427
